RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022
394576,145,"Eugene, OR",Msa,OR,39,35,36,36,37,37,35,35,35,34,34,34,38,35,35,33,35,34,34,35,37,36,35,36,39,30,31,37,35,36,35,37,38,39,36,37,38,33,33,33,32,33,33,32,32,33,34,34,34,30,30,30
395033,146,"Rockford, IL",Msa,IL,36,34,38,36,40,42,38,36,41,38,37,37,38,36,33,36,38,39,38,39,38,36,35,37,39,29,32,38,39,41,41,42,41,41,39,40,40,36,40,39,39,41,39,39,37,37,38,37,39,36,36,34
395070,147,"Savannah, GA",Msa,GA,36,31,33,35,36,36,35,35,35,33,35,32,35,33,32,35,37,35,35,32,36,35,35,34,36,30,30,37,35,35,36,36,39,37,36,35,37,35,35,37,34,35,33,33,33,32,31,34,35,33,31,31
394332,148,"Ann Arbor, MI",Msa,MI,41,35,36,35,38,41,41,37,37,37,38,38,40,32,34,35,36,35,35,35,35,36,34,32,36,27,28,37,39,33,36,35,19,,37,36,29,31,36,36,35,37,34,33,29,22,28,37,41,27,32,30
394927,149,"Ocala, FL",Msa,FL,40,35,36,38,39,40,39,39,38,37,37,36,36,34,35,38,37,35,37,39,37,38,36,37,38,34,36,41,42,37,40,40,43,42,41,40,41,36,39,41,39,41,40,39,38,39,39,38,40,36,37,35
394732,150,"Kalamazoo, MI",Msa,MI,43,36,42,41,41,42,41,42,41,39,39,40,38,37,38,40,39,42,41,39,39,40,40,40,44,35,33,42,49,,,42,43,43,41,41,41,39,39,40,40,39,40,40,42,42,40,41,46,38,36,32
394901,151,"Naples, FL",Msa,FL,42,34,29,26,40,44,42,40,41,41,38,34,40,35,36,39,42,42,42,41,41,38,38,38,40,31,30,44,45,38,41,43,43,42,42,41,41,37,42,45,46,45,44,43,43,41,41,40,42,37,41,39
395107,152,"South Bend, IN",Msa,IN,,,,,,,,,,,,,,31,33,32,30,37,36,33,38,33,37,30,20,35,26,31,27,18,32,35,23,33,34,35,15,28,32,33,32,34,34,34,33,32,33,33,33,30,29,31
395109,153,"Spartanburg, SC",Msa,SC,42,39,38,38,38,42,37,39,37,36,36,33,31,33,36,35,36,36,38,37,37,34,35,37,40,32,35,39,40,41,41,42,31,37,41,44,40,35,40,38,33,33,38,40,38,38,37,39,38,37,35,33
394579,154,"Evansville, IN",Msa,IN,,,,,,,,,,,,,,25,30,40,32,35,32,35,31,37,40,38,38,26,32,31,40,20,38,40,42,38,42,39,13,31,35,37,34,35,34,33,34,33,32,33,33,31,31,31
394747,155,"Kingsport, TN",Msa,TN,42,35,36,37,38,42,38,36,39,38,36,36,38,36,32,35,36,36,38,37,38,39,38,40,38,32,30,39,42,41,42,41,42,43,41,41,43,38,39,42,40,41,41,39,40,41,40,39,43,40,36,36
395028,156,"Roanoke, VA",Msa,VA,,,,,,,,,,,8,23,39,38,36,37,40,40,39,37,38,38,39,38,41,30,33,40,42,41,41,42,42,42,42,41,45,39,40,40,38,41,38,39,38,41,37,37,41,38,34,
394646,157,"Green Bay, WI",Msa,WI,11,17,13,14,11,16,13,13,14,14,11,9,11,9,8,14,10,11,10,7,10,9,8,7,8,7,10,7,8,6,11,8,10,8,8,7,8,7,10,7,9,8,8,8,9,11,8,10,11,14,10,7
394796,158,"Lincoln, NE",Msa,NE,,,,,,,,,,,,,,,35,25,38,37,38,39,41,34,39,37,38,34,33,38,44,41,41,44,31,39,41,42,11,,39,39,38,38,37,38,39,37,36,36,37,34,34,33
394602,159,"Fort Collins, CO",Msa,CO,37,34,32,33,36,35,34,34,35,38,39,36,32,31,33,34,14,29,35,33,34,35,34,36,36,32,32,36,36,36,35,36,37,37,36,35,31,32,31,30,27,27,28,23,20,32,33,33,32,32,31,25
395179,160,"Utica, NY",Msa,NY,,,,51,48,49,46,49,36,15,29,49,55,43,47,45,48,53,63,67,68,70,65,64,65,64,58,57,64,60,58,63,73,72,76,75,78,77,65,65,67,69,72,75,74,71,73,74,79,80,70,63
394488,161,"Columbus, GA",Msa,GA,,35,37,37,41,37,33,36,39,36,38,42,32,30,31,35,35,41,38,34,33,32,35,34,29,26,34,35,45,42,35,36,35,33,35,33,35,31,32,18,31,36,35,34,33,32,33,33,38,34,34,32
394405,162,"Boulder, CO",Msa,CO,35,34,31,30,33,34,33,33,33,33,33,31,36,30,30,32,26,28,33,34,34,35,35,36,40,30,31,34,33,33,33,33,34,33,32,34,31,32,28,27,23,28,27,26,20,31,33,31,33,28,24,18
394808,163,"Lubbock, TX",Msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31
394572,164,"Erie, PA",Msa,PA,48,42,40,42,46,48,43,43,36,41,42,39,43,40,39,39,42,43,41,38,41,39,29,39,39,36,30,46,56,42,44,44,45,46,47,46,49,43,44,46,44,48,48,44,45,44,44,44,43,44,42,42
394609,165,"Fort Smith, AR",Msa,AR,35,31,31,32,31,33,35,33,35,31,33,29,30,30,32,31,32,34,31,31,33,30,32,33,32,28,28,34,32,33,35,38,37,38,36,37,39,39,35,35,36,34,37,36,36,33,36,34,36,31,34,40
394543,166,"Duluth, MN",Msa,MN,42,40,39,38,41,41,39,38,39,39,40,37,40,42,39,39,41,41,40,40,39,41,38,38,42,35,33,44,42,43,43,44,45,43,44,44,43,42,42,42,45,46,43,44,40,43,40,40,42,38,39,38
394348,167,"Atlantic City, NJ",Msa,NJ,,,,,,,,53,60,52,52,58,44,43,40,40,49,56,46,50,47,61,54,59,58,50,36,55,45,43,45,32,49,50,60,60,71,63,51,51,65,73,75,73,71,74,73,70,82,80,37,32
394924,168,"New London, CT",Msa,CT,21,31,39,43,47,47,49,46,48,45,43,46,47,44,46,43,46,46,48,47,45,46,45,45,49,44,36,46,47,43,46,48,45,49,48,46,44,39,46,47,46,46,46,47,45,45,45,44,47,43,42,39
395061,169,"San Luis Obispo, CA",Msa,CA,39,35,36,32,34,37,37,33,35,35,36,35,38,31,33,32,34,36,35,34,36,38,35,37,35,30,30,40,38,32,35,36,36,40,38,40,41,31,33,33,32,34,34,31,31,32,32,33,33,29,29,29
394622,170,"Gainesville, FL",Msa,FL,41,32,28,33,38,41,37,38,36,33,36,35,33,34,38,34,40,38,36,37,39,35,36,37,38,31,33,39,42,39,41,42,42,41,42,39,43,43,27,31,41,40,40,39,39,38,39,40,40,35,35,34
395065,171,"Santa Cruz, CA",Msa,CA,33,28,26,28,26,27,29,29,30,29,30,30,31,30,28,29,29,29,30,30,30,31,30,30,32,27,28,33,28,30,30,31,33,30,30,33,30,29,29,29,29,29,30,28,29,29,30,29,28,27,29,28
394471,172,"Clarksville, TN",Msa,TN,39,31,33,34,36,38,37,35,34,34,34,36,35,32,32,36,37,35,33,25,33,35,33,33,36,28,27,32,30,33,35,28,31,31,34,34,,,37,35,35,37,37,36,37,37,37,38,38,36,35,32
394851,174,"Merced, CA",Msa,CA,37,30,34,31,34,38,35,35,32,34,36,32,36,32,32,32,32,35,33,37,38,35,30,35,38,30,30,38,36,38,35,37,39,37,36,39,35,34,37,33,34,34,32,31,32,32,33,34,34,31,28,29
395229,175,"Wilmington, NC",Msa,NC,38,36,36,35,36,38,37,35,42,45,33,35,37,33,34,35,36,36,35,35,38,35,36,35,40,31,31,39,39,37,37,39,40,39,39,38,41,38,37,36,37,37,36,35,35,36,35,34,38,32,31,32
394741,176,"Kennewick, WA",Msa,WA,39,28,34,34,38,38,38,37,37,36,35,34,39,34,35,34,35,36,37,36,39,38,37,38,38,34,34,39,38,39,38,40,40,39,39,38,41,37,37,38,38,38,36,36,36,35,36,35,39,33,32,32
394645,177,"Greeley, CO",Msa,CO,36,33,36,35,35,35,34,35,35,36,35,33,37,32,31,35,24,31,34,35,35,34,34,35,36,32,32,36,39,35,36,37,39,36,36,37,36,32,31,32,31,30,33,31,24,33,34,34,33,33,30,27
395197,178,"Waco, TX",Msa,TX,33,29,28,30,35,33,39,9,23,31,31,31,31,30,29,31,32,34,32,32,33,33,32,32,33,27,28,36,34,34,34,33,35,34,33,35,35,36,37,34,34,35,34,35,34,33,34,36,37,32,32,32
