,RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2020_x,2/29/2020_x,3/31/2020_x,4/30/2020_x,5/31/2020_x,6/30/2020_x,7/31/2020_x,8/31/2020_x,9/30/2020_x,10/31/2020_x,11/30/2020_x,12/31/2020_x,1/31/2021_x,2/28/2021_x,3/31/2021_x,4/30/2021_x,5/31/2021_x,6/30/2021_x,7/31/2021_x,8/31/2021_x,9/30/2021_x,10/31/2021_x,11/30/2021_x,12/31/2021_x,1/31/2022_x,2/28/2022_x,3/31/2022_x,4/30/2022_x,2020-NowAvg,1/31/2020_y,2/29/2020_y,3/31/2020_y,4/30/2020_y,5/31/2020_y,6/30/2020_y,7/31/2020_y,8/31/2020_y,9/30/2020_y,10/31/2020_y,11/30/2020_y,12/31/2020_y,1/31/2021_y,2/28/2021_y,3/31/2021_y,4/30/2021_y,5/31/2021_y,6/30/2021_y,7/31/2021_y,8/31/2021_y,9/30/2021_y,10/31/2021_y,11/30/2021_y,12/31/2021_y,1/31/2022_y,2/28/2022_y,3/31/2022_y,4/30/2022_y,2020-NowAvgDays,POPESTIMATE2020
73,394849,41,"Memphis, TN",Msa,TN,159485.0,160474.0,161418.0,162828.0,163796.0,165206.0,166410.0,167931.0,169256.0,171220.0,173231.0,175303.0,177732.0,179861.0,182344.0,184823.0,187838.0,191212.0,194115.0,196879.0,199689.0,202822.0,206349.0,209623.0,212875.0,216807.0,220629.0,224090,185151.64285714287,62.0,50.0,41.0,48.0,47.0,47.0,45.0,44.0,47.0,46.0,46.0,47.0,51.0,58.0,59.0,46.0,45.0,49.0,48.0,52.0,52.0,25.0,16.0,48.0,48.0,37.0,33.0,34.0,45.392857142857146,649705
75,394669,44,"Hartford, CT",Msa,CT,254994.0,254873.0,255717.0,256308.0,257265.0,257923.0,259917.0,262598.0,265972.0,269284.0,272961.0,276083.0,279054.0,282440.0,286194.0,290576.0,295965.0,301240.0,306216.0,309673.0,312900.0,314947.0,316948.0,318741.0,321907.0,324512.0,328070.0,332765,288072.96428571426,103.0,68.0,50.0,62.0,63.0,54.0,54.0,55.0,56.0,61.0,78.0,90.0,84.0,50.0,50.0,51.0,51.0,56.0,57.0,56.0,57.0,57.0,55.0,65.0,62.0,48.0,47.0,44.0,60.142857142857146,121535
78,395022,45,"Richmond, VA",Msa,VA,252687.0,254022.0,255067.0,256106.0,257127.0,258247.0,259650.0,260991.0,262638.0,264578.0,267154.0,270484.0,274141.0,277650.0,281020.0,284374.0,287878.0,291558.0,295048.0,298099.0,300642.0,303110.0,305951.0,309622.0,313538.0,317114.0,319431.0,322152,282145.6785714286,57.0,46.0,40.0,49.0,53.0,48.0,48.0,46.0,46.0,46.0,47.0,47.0,49.0,43.0,43.0,42.0,41.0,42.0,42.0,42.0,43.0,43.0,42.0,42.0,45.0,40.0,37.0,38.0,44.535714285714285,232226
81,394910,46,"New Orleans, LA",Msa,LA,211959.0,213344.0,213677.0,214779.0,215774.0,216914.0,217462.0,218955.0,220327.0,222064.0,223722.0,225792.0,228499.0,231120.0,233330.0,234802.0,236617.0,239132.0,242465.0,245989.0,249535.0,252435.0,255085.0,258315.0,260935.0,263703.0,265379.0,268073,235006.5357142857,83.0,62.0,56.0,68.0,61.0,59.0,59.0,56.0,59.0,53.0,56.0,60.0,58.0,49.0,48.0,46.0,46.0,46.0,45.0,47.0,70.0,51.0,46.0,47.0,43.0,40.0,42.0,40.0,53.42857142857143,389476
83,394425,47,"Buffalo, NY",Msa,NY,177161.0,177763.0,178276.0,178910.0,179128.0,179449.0,180271.0,182361.0,185552.0,188807.0,192064.0,194787.0,197205.0,199311.0,201198.0,203560.0,208847.0,215036.0,221556.0,224428.0,225958.0,226713.0,227796.0,228805.0,230607.0,232985.0,237566.0,241767,204209.5357142857,98.0,79.0,51.0,87.0,77.0,71.0,68.0,73.0,77.0,80.0,83.0,85.0,85.0,81.0,72.0,72.0,71.0,72.0,75.0,76.0,78.0,79.0,81.0,84.0,82.0,80.0,68.0,67.0,76.85714285714286,254479
87,395012,48,"Raleigh, NC",Msa,NC,289405.0,289875.0,291123.0,292886.0,294054.0,294665.0,295567.0,297254.0,299820.0,302434.0,305649.0,309423.0,314016.0,318756.0,323346.0,328625.0,334979.0,343609.0,354252.0,366740.0,377968.0,388284.0,396111.0,404598.0,413645.0,424340.0,436331.0,448282,340572.75,65.0,44.0,40.0,50.0,49.0,47.0,45.0,43.0,44.0,44.0,44.0,48.0,46.0,40.0,38.0,38.0,37.0,39.0,37.0,37.0,38.0,37.0,37.0,39.0,40.0,36.0,35.0,35.0,41.857142857142854,474414
88,394388,49,"Birmingham, AL",Msa,AL,176218.0,177275.0,178822.0,180403.0,181841.0,182357.0,182838.0,184036.0,185761.0,187836.0,189556.0,191215.0,193319.0,195690.0,198163.0,200187.0,202441.0,204954.0,208471.0,211667.0,214709.0,217194.0,220096.0,223596.0,226462.0,229511.0,232109.0,235604,200440.39285714287,54.0,43.0,40.0,47.0,44.0,45.0,45.0,43.0,44.0,44.0,45.0,48.0,47.0,38.0,40.0,40.0,38.0,40.0,39.0,39.0,39.0,38.0,40.0,40.0,40.0,29.0,33.0,34.0,41.285714285714285,206950
89,395053,50,"Salt Lake City, UT",Msa,UT,401027.0,404049.0,407433.0,409214.0,412567.0,415337.0,419304.0,424480.0,430105.0,436671.0,442827.0,451025.0,458087.0,466396.0,474569.0,484861.0,497887.0,514349.0,530835.0,545136.0,553642.0,562155.0,567436.0,576504.0,585195.0,600426.0,612003.0,625297,489600.60714285716,46.0,35.0,32.0,38.0,38.0,39.0,37.0,35.0,38.0,37.0,38.0,38.0,11.0,5.0,5.0,30.0,29.0,32.0,31.0,31.0,34.0,35.0,33.0,36.0,35.0,29.0,28.0,28.0,31.535714285714285,204087
91,395031,51,"Rochester, NY",Msa,NY,159592.0,160412.0,161427.0,162660.0,163657.0,164453.0,165870.0,167540.0,169734.0,171616.0,173229.0,174756.0,176207.0,178038.0,180517.0,183268.0,186584.0,190431.0,194107.0,196182.0,196796.0,197080.0,198471.0,200617.0,203201.0,205836.0,208660.0,211734,182238.39285714287,82.0,60.0,46.0,66.0,65.0,57.0,58.0,60.0,64.0,65.0,66.0,70.0,68.0,64.0,58.0,59.0,58.0,62.0,63.0,64.0,63.0,64.0,63.0,66.0,66.0,61.0,55.0,54.0,62.392857142857146,205225
95,394640,52,"Grand Rapids, MI",Msa,MI,222917.0,224247.0,226004.0,228097.0,228284.0,228186.0,228731.0,231512.0,234822.0,237597.0,240399.0,243148.0,246183.0,249274.0,252621.0,255685.0,259493.0,264330.0,269281.0,273122.0,275350.0,278488.0,281529.0,285250.0,288376.0,293003.0,297992.0,303321,255258.64285714287,67.0,44.0,38.0,52.0,44.0,17.0,6.0,42.0,43.0,43.0,43.0,44.0,43.0,38.0,37.0,38.0,38.0,38.0,39.0,39.0,42.0,42.0,41.0,43.0,43.0,37.0,33.0,34.0,39.57142857142857,200031
