,RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022
295,395079,295,"Vero Beach, FL",Msa,FL,238470.0,241166.0,243965.0,246743.0,247606.0,249123.0,250219.0,251424.0,252171.0,252995.0,254196.0,258557.0,262347.0,265266.0,266672.0,268852.0,274378.0,279433.0,287354.0,296917.0,307016.0,318572.0,329030.0,338404.0,347033.0,355099.0,366027.0,377656
296,394930,296,"Odessa, TX",Msa,TX,202668.0,203457.0,,202099.0,201219.0,,,187529.0,,187714.0,186065.0,184886.0,184918.0,185650.0,186440.0,186536.0,185371.0,183807.0,181941.0,180944.0,179976.0,184453.0,189193.0,194775.0,195491.0,196713.0,197095.0,197066
297,394900,297,"Napa, CA",Msa,CA,707867.0,704662.0,704991.0,709080.0,715236.0,716108.0,719111.0,723541.0,733958.0,747025.0,759233.0,774412.0,789425.0,800790.0,806004.0,811840.0,822421.0,844393.0,867578.0,884971.0,894167.0,895718.0,894755.0,892353.0,893620.0,908360.0,927664.0,946369
298,395170,298,"Tupelo, MS",Msa,MS,123863.0,124137.0,124497.0,124886.0,125391.0,125854.0,126191.0,125971.0,125808.0,125722.0,126213.0,126729.0,128126.0,129875.0,131746.0,132926.0,133891.0,134854.0,136067.0,137096.0,138100.0,138774.0,139540.0,142153.0,144690.0,147925.0,149215.0,150618
299,394368,299,"Battle Creek, MI",Msa,MI,122956.0,123893.0,124938.0,125858.0,126303.0,126457.0,126649.0,127498.0,129219.0,130811.0,133272.0,135237.0,137629.0,139372.0,141230.0,143145.0,144958.0,146887.0,148918.0,151348.0,154248.0,156897.0,158705.0,160612.0,162813.0,165713.0,168151.0,170537
300,394719,300,"Jamestown, NY",Msa,NY,103799.0,104903.0,105827.0,106387.0,107186.0,107588.0,108393.0,109350.0,110545.0,111627.0,112628.0,113414.0,114217.0,115387.0,117329.0,119081.0,120692.0,121918.0,123641.0,125633.0,127638.0,130208.0,132665.0,135495.0,137949.0,139928.0,142125.0,144876
301,394577,301,"Eureka, CA",Msa,CA,331379.0,330403.0,329047.0,328659.0,330381.0,332521.0,336510.0,339768.0,343105.0,346895.0,350582.0,354529.0,356663.0,359762.0,363650.0,370240.0,376986.0,385239.0,396168.0,409294.0,421413.0,429434.0,435899.0,444998.0,455892.0,465598.0,470998.0,475410
302,395013,302,"Rapid City, SD",Msa,SD,230580.0,231418.0,232151.0,233263.0,233744.0,234324.0,234847.0,235999.0,237387.0,239101.0,241067.0,243012.0,,,,,271053.0,276075.0,281182.0,286391.0,291281.0,296094.0,300284.0,305415.0,310566.0,317591.0,323750.0,329600
303,394595,303,"Flagstaff, AZ",Msa,AZ,387634.0,389451.0,391878.0,393670.0,394725.0,395003.0,396303.0,400106.0,405423.0,412365.0,419584.0,428108.0,439291.0,448355.0,458604.0,468074.0,482858.0,500333.0,518041.0,536080.0,549697.0,564632.0,577850.0,590372.0,598726.0,605662.0,618649.0,636254
304,394810,304,"Lumberton, NC",Msa,NC,78950.0,79692.0,80419.0,80601.0,80628.0,80848.0,81139.0,81262.0,81478.0,81697.0,82350.0,82820.0,84196.0,85651.0,87426.0,88428.0,89443.0,90436.0,91389.0,92224.0,92939.0,93548.0,94104.0,96301.0,98567.0,101119.0,102085.0,103106
